pid_id,pid_name
0,PIDs supported [$01 - $20]
1,"Monitor status since DTCs cleared. (Includes malfunction indicator lamp (MIL), status and number of DTCs, components tests, DTC readiness checks)"
2,DTC that caused freeze frame to be stored.
3,Fuel system status
4,Calculated engine load
5,Engine coolant temperature
6,Short term fuel trim—Bank 1
7,Long term fuel trim—Bank 1
8,Short term fuel trim—Bank 2
9,Long term fuel trim—Bank 2
10,Fuel pressure (gauge pressure)
11,Intake manifold absolute pressure
12,Engine speed
13,Vehicle speed
14,Timing advance
15,Intake air temperature
16,Mass air flow sensor (MAF) air flow rate
17,Throttle position
18,Commanded secondary air status
19,Oxygen sensors present (in 2 banks)
20,"Oxygen Sensor 1
A: Voltage
B: Short term fuel trim"
21,"Oxygen Sensor 2
A: Voltage
B: Short term fuel trim"
22,"Oxygen Sensor 3
A: Voltage
B: Short term fuel trim"
23,"Oxygen Sensor 4
A: Voltage
B: Short term fuel trim"
24,"Oxygen Sensor 5
A: Voltage
B: Short term fuel trim"
25,"Oxygen Sensor 6
A: Voltage
B: Short term fuel trim"
26,"Oxygen Sensor 7
A: Voltage
B: Short term fuel trim"
27,"Oxygen Sensor 8
A: Voltage
B: Short term fuel trim"
28,OBD standards this vehicle conforms to
29,Oxygen sensors present (in 4 banks)
30,Auxiliary input status
31,Run time since engine start
32,PIDs supported [$21 - $40]
33,Distance traveled with malfunction indicator lamp (MIL) on
34,Fuel Rail Pressure (relative to manifold vacuum)
35,"Fuel Rail Gauge Pressure (diesel, or gasoline direct injection)"
36,"Oxygen Sensor 1
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
37,"Oxygen Sensor 2
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
38,"Oxygen Sensor 3
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
39,"Oxygen Sensor 4
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
40,"Oxygen Sensor 5
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
41,"Oxygen Sensor 6
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
42,"Oxygen Sensor 7
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
43,"Oxygen Sensor 8
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Voltage"
44,Commanded EGR
45,EGR Error
46,Commanded evaporative purge
47,Fuel Tank Level Input
48,Warm-ups since codes cleared
49,Distance traveled since codes cleared
50,Evap. System Vapor Pressure
51,Absolute Barometric Pressure
52,"Oxygen Sensor 1
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
53,"Oxygen Sensor 2
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
54,"Oxygen Sensor 3
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
55,"Oxygen Sensor 4
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
56,"Oxygen Sensor 5
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
57,"Oxygen Sensor 6
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
58,"Oxygen Sensor 7
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
59,"Oxygen Sensor 8
AB: Air-Fuel Equivalence Ratio (lambda,λ)
CD: Current"
60,"Catalyst Temperature: Bank 1, Sensor 1"
61,"Catalyst Temperature: Bank 2, Sensor 1"
62,"Catalyst Temperature: Bank 1, Sensor 2"
63,"Catalyst Temperature: Bank 2, Sensor 2"
64,PIDs supported [$41 - $60]
65,Monitor status this drive cycle
66,Control module voltage
67,Absolute load value
68,"Commanded Air-Fuel Equivalence Ratio (lambda,λ)"
69,Relative throttle position
70,Ambient air temperature
71,Absolute throttle position B
72,Absolute throttle position C
73,Accelerator pedal position D
74,Accelerator pedal position E
75,Accelerator pedal position F
76,Commanded throttle actuator
77,Time run with MIL on
78,Time since trouble codes cleared
79,"Maximum value for Fuel–Air equivalence ratio, oxygen sensor voltage, oxygen sensor current, and intake manifold absolute pressure"
80,Maximum value for air flow rate from mass air flow sensor
81,Fuel Type
82,Ethanol fuel %
83,Absolute Evap system Vapor Pressure
84,Evap system vapor pressure
85,"Short term secondary oxygen sensor trim, A: bank 1, B: bank 3"
86,"Long term secondary oxygen sensor trim, A: bank 1, B: bank 3"
87,"Short term secondary oxygen sensor trim, A: bank 2, B: bank 4"
88,"Long term secondary oxygen sensor trim, A: bank 2, B: bank 4"
89,Fuel rail absolute pressure
90,Relative accelerator pedal position
91,Hybrid battery pack remaining life
92,Engine oil temperature
93,Fuel injection timing
94,Engine fuel rate
95,Emission requirements to which vehicle is designed
96,PIDs supported [$61 - $80]
97,Driver's demand engine - percent torque
98,Actual engine - percent torque
99,Engine reference torque
100,Engine percent torque data
101,Auxiliary input / output supported
102,Mass air flow sensor
103,Engine coolant temperature
104,Intake air temperature sensor
105,"Actual EGR, Commanded EGR, and EGR Error"
106,Commanded Diesel intake air flow control and relative intake air flow position
107,Exhaust gas recirculation temperature
108,Commanded throttle actuator control and relative throttle position
109,Fuel pressure control system
110,Injection pressure control system
111,Turbocharger compressor inlet pressure
112,Boost pressure control
113,Variable Geometry turbo (VGT) control
114,Wastegate control
115,Exhaust pressure
116,Turbocharger RPM
117,Turbocharger temperature
118,Turbocharger temperature
119,Charge air cooler temperature (CACT)
120,Exhaust Gas temperature (EGT) Bank 1
121,Exhaust Gas temperature (EGT) Bank 2
122,Diesel particulate filter (DPF)differential pressure
123,Diesel particulate filter (DPF)
124,Diesel Particulate filter (DPF) temperature
125,NOx NTE (Not-To-Exceed) control area status
126,PM NTE (Not-To-Exceed) control area status
127,Engine run time [b]
128,PIDs supported [$81 - $A0]
129,Engine run time for Auxiliary Emissions Control Device(AECD)
130,Engine run time for Auxiliary Emissions Control Device(AECD)
131,NOx sensor
132,Manifold surface temperature
133,NOx reagent system
134,Particulate matter (PM) sensor
135,Intake manifold absolute pressure
136,SCR Induce System
137,Run Time for AECD #11-#15
138,Run Time for AECD #16-#20
139,Diesel Aftertreatment
140,O2 Sensor (Wide Range)
141,Throttle Position G
142,Engine Friction - Percent Torque
143,PM Sensor Bank 1 & 2
144,WWH-OBD Vehicle OBD System Information
145,WWH-OBD Vehicle OBD System Information
146,Fuel System Control
147,WWH-OBD Vehicle OBD Counters support
148,NOx Warning And Inducement System
152,Exhaust Gas Temperature Sensor
153,Exhaust Gas Temperature Sensor
154,"Hybrid/EV Vehicle System Data, Battery, Voltage"
155,Diesel Exhaust Fluid Sensor Data
156,O2 Sensor Data
157,Engine Fuel Rate
158,Engine Exhaust Flow Rate
159,Fuel System Percentage Use
160,PIDs supported [$A1 - $C0]
161,NOx Sensor Corrected Data
162,Cylinder Fuel Rate
163,Evap System Vapor Pressure
164,Transmission Actual Gear
165,Commanded Diesel Exhaust Fluid Dosing
166,Odometer [c]
167,NOx Sensor Concentration Sensors 3 and 4
168,NOx Sensor Corrected Concentration Sensors 3 and 4
169,ABS Disable Switch State
192,PIDs supported [$C1 - $E0]
195,?
196,?